state,county,population,age_group,gender_name
Alaska,Haines Borough,2474,All Ages,Other
Alaska,Haines Borough,1222,All Ages,Male
Alaska,Haines Borough,1252,All Ages,Female
Alaska,Haines Borough,89,Age 0 to 4 years,Other
Alaska,Haines Borough,46,Age 0 to 4 years,Male
Alaska,Haines Borough,43,Age 0 to 4 years,Female
Alaska,Haines Borough,111,Age 5 to 9 years,Other
Alaska,Haines Borough,51,Age 5 to 9 years,Male
Alaska,Haines Borough,60,Age 5 to 9 years,Female
Alaska,Haines Borough,129,Age 10 to 14 years,Other
Alaska,Haines Borough,60,Age 10 to 14 years,Male
Alaska,Haines Borough,69,Age 10 to 14 years,Female
Alaska,Haines Borough,141,Age 15 to 19 years,Other
Alaska,Haines Borough,70,Age 15 to 19 years,Male
Alaska,Haines Borough,71,Age 15 to 19 years,Female
Alaska,Haines Borough,110,Age 20 to 24 years,Other
Alaska,Haines Borough,64,Age 20 to 24 years,Male
Alaska,Haines Borough,46,Age 20 to 24 years,Female
Alaska,Haines Borough,97,Age 25 to 29 years,Other
Alaska,Haines Borough,45,Age 25 to 29 years,Male
Alaska,Haines Borough,52,Age 25 to 29 years,Female
Alaska,Haines Borough,146,Age 30 to 34 years,Other
Alaska,Haines Borough,70,Age 30 to 34 years,Male
Alaska,Haines Borough,76,Age 30 to 34 years,Female
Alaska,Haines Borough,150,Age 35 to 39 years,Other
Alaska,Haines Borough,69,Age 35 to 39 years,Male
Alaska,Haines Borough,81,Age 35 to 39 years,Female
Alaska,Haines Borough,147,Age 40 to 44 years,Other
Alaska,Haines Borough,81,Age 40 to 44 years,Male
Alaska,Haines Borough,66,Age 40 to 44 years,Female
Alaska,Haines Borough,145,Age 45 to 49 years,Other
Alaska,Haines Borough,69,Age 45 to 49 years,Male
Alaska,Haines Borough,76,Age 45 to 49 years,Female
Alaska,Haines Borough,179,Age 50 to 54 years,Other
Alaska,Haines Borough,80,Age 50 to 54 years,Male
Alaska,Haines Borough,99,Age 50 to 54 years,Female
Alaska,Haines Borough,229,Age 55 to 59 years,Other
Alaska,Haines Borough,122,Age 55 to 59 years,Male
Alaska,Haines Borough,107,Age 55 to 59 years,Female
Alaska,Haines Borough,255,Age 60 to 64 years,Other
Alaska,Haines Borough,124,Age 60 to 64 years,Male
Alaska,Haines Borough,131,Age 60 to 64 years,Female
Alaska,Haines Borough,223,Age 65 to 69 years,Other
Alaska,Haines Borough,118,Age 65 to 69 years,Male
Alaska,Haines Borough,105,Age 65 to 69 years,Female
Alaska,Haines Borough,168,Age 70 to 74 years,Other
Alaska,Haines Borough,88,Age 70 to 74 years,Male
Alaska,Haines Borough,80,Age 70 to 74 years,Female
Alaska,Haines Borough,68,Age 75 to 79 years,Other
Alaska,Haines Borough,29,Age 75 to 79 years,Male
Alaska,Haines Borough,39,Age 75 to 79 years,Female
Alaska,Haines Borough,38,Age 80 to 84 years,Other
Alaska,Haines Borough,20,Age 80 to 84 years,Male
Alaska,Haines Borough,18,Age 80 to 84 years,Female
Alaska,Haines Borough,49,Age 85 years and older,Other
Alaska,Haines Borough,16,Age 85 years and older,Male
Alaska,Haines Borough,33,Age 85 years and older,Female
Alaska,Haines Borough,424,Under 18 years,Other
Alaska,Haines Borough,202,Under 18 years,Male
Alaska,Haines Borough,222,Under 18 years,Female
Alaska,Haines Borough,208,5 to 13 years,Other
Alaska,Haines Borough,99,5 to 13 years,Male
Alaska,Haines Borough,109,5 to 13 years,Female
Alaska,Haines Borough,127,14 to 17 years,Other
Alaska,Haines Borough,57,14 to 17 years,Male
Alaska,Haines Borough,70,14 to 17 years,Female
Alaska,Haines Borough,1504,18 to 64 years,Other
Alaska,Haines Borough,749,18 to 64 years,Male
Alaska,Haines Borough,755,18 to 64 years,Female
Alaska,Haines Borough,156,18 to 24 years,Other
Alaska,Haines Borough,89,18 to 24 years,Male
Alaska,Haines Borough,67,18 to 24 years,Female
Alaska,Haines Borough,540,25 to 44 years,Other
Alaska,Haines Borough,265,25 to 44 years,Male
Alaska,Haines Borough,275,25 to 44 years,Female
Alaska,Haines Borough,808,45 to 64 years,Other
Alaska,Haines Borough,395,45 to 64 years,Male
Alaska,Haines Borough,413,45 to 64 years,Female
Alaska,Haines Borough,546,65 years and over,Other
Alaska,Haines Borough,271,65 years and over,Male
Alaska,Haines Borough,275,65 years and over,Female
Alaska,Haines Borough,49,85 years and over,Other
Alaska,Haines Borough,16,85 years and over,Male
Alaska,Haines Borough,33,85 years and over,Female
Alaska,Haines Borough,2114,16 years and over,Other
Alaska,Haines Borough,1054,16 years and over,Male
Alaska,Haines Borough,1060,16 years and over,Female
Alaska,Haines Borough,2050,18 years and over,Other
Alaska,Haines Borough,1020,18 years and over,Male
Alaska,Haines Borough,1030,18 years and over,Female
Alaska,Haines Borough,791,15 to 44 years,Other
Alaska,Haines Borough,399,15 to 44 years,Male
Alaska,Haines Borough,392,15 to 44 years,Female
Alaska,Haines Borough,49,Median age,Other
Alaska,Haines Borough,49,Median age,Male
Alaska,Haines Borough,49,Median age,Female